attempt_id,rim_frame,outcome,reached,note
1,405,make,rim,
2,647,miss,rim,
3,764,make,rim,
4,1015,miss,rim,
5,1171,miss,rim,
6,1282,miss,rim,
7,1313,miss,rim,
8,1590,miss,rim,
9,1715,make,rim,
10,1931,make,rim,
11,2135,make,rim,
12,2521,miss,rim,
13,2797,miss,rim,
14,2937,miss,rim,
15,3170,make,rim,
16,3415,miss,rim,
17,3803,make,rim,
18,4076,make,rim,
19,4382,miss,rim,
20,5142,make,rim,
21,5464,miss,rim,
22,5644,make,rim,
23,5925,make,rim,
24,6256,make,rim,
25,6751,miss,rim,
26,7038,miss,rim,
27,7581,make,rim,
28,7905,make,rim,
29,8061,make,rim,
30,8352,make,rim,
31,8528,miss,rim,
32,8727,miss,rim,
33,8802,miss,rim,
34,9052,make,rim,
35,9348,miss,rim,
36,9553,miss,rim,
