attempt_id,rim_frame,outcome,reached,note
1,172,miss,rim,
2,457,miss,rim,
3,619,make,rim,
4,989,make,rim,
5,1247,make,rim,
6,1381,make,rim,
7,1518,miss,rim,
8,2042,miss,rim,
9,2344,miss,rim,
10,2466,miss,rim,
11,2704,miss,rim,
12,2827,miss,rim,
13,3022,miss,rim,
14,3460,miss,rim,
15,4047,miss,rim,
16,4303,make,rim,
17,4555,miss,rim,
18,4870,make,rim,
19,5111,miss,rim,
20,5405,make,rim,
21,5770,make,rim,
22,5939,miss,rim,
23,6211,miss,rim,
24,6451,miss,rim,
25,6833,miss,rim,
26,6966,miss,rim,
27,8285,miss,rim,
28,8503,make,rim,
29,8740,make,rim,
30,8865,make,rim,
31,9100,make,rim,
32,9262,miss,rim,
33,9549,miss,rim,
34,9910,miss,rim,
35,10257,miss,rim,
36,10493,make,rim,
37,10818,miss,airball,
