attempt_id,rim_frame,outcome,reached,note
1,978,make,rim,
2,1239,make,rim,
3,1481,make,rim,
4,1792,miss,rim,
5,1984,miss,rim,
6,2228,make,rim,
7,2509,miss,rim,
8,3074,miss,rim,
9,3439,miss,rim,
10,3616,make,rim,
11,3910,make,rim,
12,4501,miss,rim,
13,4807,miss,rim,
14,4949,miss,rim,
15,5221,miss,rim,
16,5473,miss,rim,
17,5665,miss,rim,
18,6046,miss,rim,
19,6273,miss,rim,
20,6558,miss,rim,
21,6692,miss,rim,
22,6864,miss,rim,
23,7655,make,rim,
24,7972,make,rim,
25,8233,miss,rim,
26,8508,make,rim,
27,8741,make,rim,
28,9005,make,rim,
29,9328,make,rim,
30,9695,miss,rim,
31,9986,make,rim,
32,10464,miss,rim,
33,10929,make,rim,
34,11267,make,rim,
35,11754,miss,rim,
36,11983,make,rim,
37,12255,make,rim,
38,12681,miss,airball,
