attempt_id,rim_frame,outcome,reached,note
1,1121,make,rim,
2,1367,miss,airball,
3,1696,make,rim,
4,1934,miss,rim,
5,2311,make,rim,
6,2604,make,rim,
7,2832,miss,rim,
8,3038,make,rim,
9,3283,miss,rim,
10,3541,make,rim,
11,3764,make,rim,
12,4024,make,rim,
13,4222,make,rim,
14,4464,miss,rim,
15,4890,make,rim,
16,5166,miss,rim,
17,5311,make,rim,
18,5403,miss,rim,
19,5661,make,rim,
20,6104,make,rim,
21,6355,miss,rim,
22,6623,miss,rim,
23,6872,miss,rim,
24,7133,make,rim,
25,7481,make,rim,
26,7693,miss,airball,
27,8218,make,rim,
28,8556,miss,rim,
